"ID_echantillon";"Nom_scientifique";"Genre";"Espece";"ID_espece";"Milieu_recolte";"T_ambiante";"Vent";"Humidite";"DI";"DI_test";"score_DI";"BT";"BT_test";"MT";"BB";"BB_test";"FI";"Nb_ramifications";"BD";"TMC_t0";"TMC_t24";"TDMC";"TD";"TDIA";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT";"VPD"
"16_5";"Hibiscus tiliaceus";"Hibiscus";"tiliaceus";16;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49,07;26,76;7,9;56,96;60,27;3610,59;11,49;0
"16_6";"Hibiscus tiliaceus";"Hibiscus";"tiliaceus";16;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27,89;71,98;18,54;31,03;33,09;1697,57;6,45;0
"17_1";"Barringtonia asiatica";"Barringtonia";"asiatica";17;"G";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30,11;27,66;0,46;13,7;162,61;1284,99;3,51;0
"17_2";"Barringtonia asiatica";"Barringtonia";"asiatica";17;"G";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,73;11,27;0,36;6,94;58,23;339,63;1,41;0
"17_3";"Barringtonia asiatica";"Barringtonia";"asiatica";17;"G";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,67;18,61;0,49;8,63;95,28;300,04;0,9;0
"17_4";"Barringtonia asiatica";"Barringtonia";"asiatica";17;"G";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25,36;23,99;0,29;14,68;104,39;343,41;2,38;0
"17_5";"Barringtonia asiatica";"Barringtonia";"asiatica";17;"G";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,55;17,6;1,2;10,16;148,44;184,92;1,37;0
"17_6";"Barringtonia asiatica";"Barringtonia";"asiatica";17;"G";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23,05;22,05;0,6;15,62;192,12;220,57;2,66;0
"18_1";"Leucaena leucocephala";"Leucaena";"leucocephala";18;"I";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"18_2";"Leucaena leucocephala";"Leucaena";"leucocephala";18;"I";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"18_3";"Leucaena leucocephala";"Leucaena";"leucocephala";18;"I";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"18_4";"Leucaena leucocephala";"Leucaena";"leucocephala";18;"I";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"18_5";"Leucaena leucocephala";"Leucaena";"leucocephala";18;"I";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"18_6";"Leucaena leucocephala";"Leucaena";"leucocephala";18;"I";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19_1";"Acropogon bullatus";"Acropogon";"bullatus";19;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;17,68;1,37;33,75;65,96;780,72;12,32;0
"19_2";"Acropogon bullatus";"Acropogon";"bullatus";19;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26,18;27,46;1,88;38,11;45,05;1018,25;10,04;0
"19_3";"Acropogon bullatus";"Acropogon";"bullatus";19;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22,2;28,95;4,45;29,25;23,21;1530,19;11,55;0
"19_4";"Acropogon bullatus";"Acropogon";"bullatus";19;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26,02;29,23;4,25;39,42;74,81;843,7;11,59;0
"19_5";"Acropogon bullatus";"Acropogon";"bullatus";19;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,31;20,65;2,21;23,98;43,03;688,65;6,5;0
"19_6";"Acropogon bullatus";"Acropogon";"bullatus";19;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19,42;16,73;5,7;22,41;44,47;1919,32;8,28;0
"20_1";"Cerbera manghas";"Cerbera";"manghas";20;"G";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,88;7,74;1,08;3,56;15,05;832,43;1,25;0
"20_2";"Cerbera manghas";"Cerbera";"manghas";20;"G";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,7;19,88;5,21;4,3;15,82;1604,5;1,22;0
"20_3";"Cerbera manghas";"Cerbera";"manghas";20;"G";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45,82;41,64;1,36;42,23;5,39;1715,31;7,73;0
"20_4";"Cerbera manghas";"Cerbera";"manghas";20;"G";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,74;12,7;0,24;8,19;12,57;651,83;1,27;0
"20_5";"Cerbera manghas";"Cerbera";"manghas";20;"G";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22,56;21,28;0,44;14,87;19,3;496,12;1,3;0
"20_6";"Cerbera manghas";"Cerbera";"manghas";20;"G";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19,42;15,02;1,77;13,79;11,51;1039,55;3,08;0
"21_1";"Scaevola taccada";"Scaevola";"taccada";21;"G";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143,38;124,53;2,01;15,12;5,46;4353,85;2,15;0
"21_2";"Scaevola taccada";"Scaevola";"taccada";21;"G";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;228,65;220,87;2,4;30,19;14,94;1272,81;2,8;0
"21_3";"Scaevola taccada";"Scaevola";"taccada";21;"G";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91,35;95,52;1,59;10,75;5,7;1223,35;0,57;0
