"";"Nom_scientifique";"ID_espece";"Milieu_recolte";"T_ambiante";"Vent";"Humidite";"DI";"DI_test";"score_DI";"BT";"BT_test";"MT";"BB";"BB_test";"FI";"Nb_ramifications";"BD";"TMC_t0";"TMC_t24";"TDMC";"TD";"TDIA";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT";"VPD";"Nb_FI"
"54";"Plerandra gabriellae";64;"";31,75;4;71,55;7;3;7;26;26;530,67;9,5;9,5;1;0,17;6,97;215,17;195,89;319,42;1,13;24,35;6,23;184,56;157,31;9,59;355,4;156,4;5320,31;69,46;1,33;6
"55";"Rauvolfia semperflorens";68;"";34,6;2;58,6;8,58;1,42;8,58;39,5;39,5;667,17;51,67;51,67;1;12,17;2,27;92,14;64,06;520,62;0,58;10,7;20,3;199,45;98,72;33,47;335,39;8,98;9201,74;37,13;2,28;6
"56";"Santalum austrocaledonicum";14;"";28,5;3,2;68,1;9;1;9;28,5;28,5;603,6;35;35;1;11,33;3,13;88,43;66,19;532,03;0,53;9,71;25,5;234,24;149,62;25,4;302,55;8,4;10106,48;30,87;1,24;6
"57";"Scaevola cylindrica";62;"";31,72;3,33;68,18;7,75;2,25;7,75;28,67;28,67;605,33;40,83;40,83;1;9,5;3,55;155,21;124,47;396,32;0,73;13,31;23,17;375,07;183,7;40,97;214,25;26,5;12804,08;17,97;1,49;6
"58";"Scaevola montana";46;"";24,1;2,4;64,2;7,92;0,58;9,42;16,33;17,83;547,03;29,17;30,83;0,83;14,5;1,73;111,39;87,88;475,12;0,56;10,37;16,72;391,37;197,21;40,38;206,3;12,63;19921,74;10,77;1,08;5
"59";"Scaevola taccada";21;"G";29,1;1,5;68,8;0,83;9,17;0,83;1,83;1,83;196,03;0,17;0,17;0,17;4;11,41;243,76;219,39;292,8;0,65;13,25;14,51;775,09;674,05;11,74;116,6;48,86;17188,41;7,04;1,26;1
"60";"Styphelia cymbulae";59;"";27,9;2;70,9;9,5;0,5;9,5;35,33;35,33;833,33;85;85;1;16;2,52;67,6;39,69;597,14;0,54;9,81;26,2;79,73;9,4;38,78;561,62;1,77;7446,18;79,94;1,09;6
"61";"Syzygium cumini";15;"I";28,5;3,2;68,1;9,33;0,67;9,33;25,83;25,83;725,15;63,33;63,33;1;4,5;3,28;114,88;86,21;466,25;0,43;7,87;14,99;179,66;145,28;12,2;361,7;70,89;10172,36;37,59;1,24;6
"62";"Tabernaemontana cerifera";36;"F";26,6;1,5;65,3;8,5;1,5;8,5;20;20;449,35;11,67;11,67;1;3;6,63;183,78;168,78;353,79;0,76;15,55;56,86;318,72;232,23;20,98;241,77;99,93;7280,97;34,73;1,21;6
"63";"Terminalia catappa";2;"I";31,7;2,5;66;8,9;1,1;8,9;19,2;19,2;630,4;28;28;1;2,2;NA;168,34;141,9;420,41;0,47;8,76;24,43;230,63;163,06;20,68;305,11;264,97;12749,96;24,64;1,59;5
"64";"Trema cannabina";52;"N";29,5;5;59,9;9,5;0,5;9,5;22;22;623,08;53,33;53,33;1;9,33;0,85;184,68;147,3;353,91;0,31;7,99;67,58;232,92;56,77;52,42;304,63;35,12;22892,86;13,71;1,65;6
"65";"Tristaniopsis calobuxus";57;"";29,7;6;64;9,42;0,58;9,42;99,67;99,67;896,35;93,33;93,33;1;16,67;5,54;54,82;41,08;646,32;0,79;15,18;36,31;67,68;26,61;24,65;597,26;2,06;4140,55;145,63;1,5;6
"66";"Tristaniopsis glauca";12;"M";28,32;2,75;77,32;9;1;9;64,83;64,83;775,83;86,17;86,17;1;8,17;3,67;54,47;42,95;648,21;0,86;11,39;20,07;91,02;49,69;21,87;524,32;15,84;3680,02;144,26;0,88;6
"67";"Wikstroemia indica ";55;"";30;4,8;65,6;6;1;9;12,33;15,33;305,8;14,17;15,33;0,67;10,83;1,69;88,48;51,25;531,4;0,33;7,72;23,68;334,14;65,44;60,29;257,3;3,42;26995,45;12,04;1,46;4
