"";"ID_echantillon";"T_ambiante";"Vent";"Humidite";"T_grill";"DI";"DI_test";"MT";"temps_total";"BB";"BB_test";"remarque";"longeur";"largeur";"hauteur";"masse";"score_DI";"BT";"BT_test";"SD"
"182";"31_2";27,4;1,2;70,9;176,2;9,5;0,5;489,7;134;5;5;"";70;50;10;200;9,5;14;14;10,91
"186";"31_6";27,4;1,2;70,9;180,7;9;1;612,4;133;5;5;"";70;74;10;325;9;12;12;11,98
"187";"32_1";27,4;1,2;70,9;166,6;9;1;757,1;154;60;60;"";70;50;14;75;9;33;33;2,92
"188";"32_2";27,4;1,2;70,9;165,5;9,5;0,5;645,5;176;80;80;"";70;33;16;50;9,5;56;56;2,58
"189";"32_3";27,4;1,2;70,9;178,6;9;1;805,5;145;95;95;"";70;36;11;75;9;24;24;5,17
"190";"32_4";27,4;1,2;70,9;167,6;9;1;690,6;146;85;85;"";70;32;21;50;9;25;25;2,03
"191";"32_5";27,4;1,2;70,9;151,4;9,5;0,5;849;158;95;95;"";70;33;8;75;9,5;38;38;7,75
"192";"32_6";27,4;1,2;70,9;190,7;9,5;0,5;806,3;160;90;90;"";70;44;13;100;9,5;40;40;4,77
"193";"33_1";28,3;2;75,1;192,3;9,5;0,5;792;185;95;95;"";70;70;23;225;9,5;64;64;3,81
"194";"33_2";28,3;2;75,1;178;9;1;772,7;159;90;90;"";70;46;20;150;9;38;38;4,45
"195";"33_3";28,3;2;75,1;185,8;9,5;0,5;690,4;140;70;70;"";70;39;17;150;9,5;20;20;6,17
"196";"33_4";28,3;3;75,1;174,3;7;3;713,1;172;45;45;"";70;50;32;200;7;49;49;3,41
"197";"33_5";28,3;2;75,1;187,5;9;1;700,5;145;30;30;"";70;49;10;100;9;24;24;5,57
"198";"33_6";28,3;2;75,1;188,1;9,5;0,5;697,6;146;50;50;"";70;50;10;125;9,5;26;26;6,82
"199";"34_1";28,3;2;75,1;192,1;9,5;0,5;658,2;157;65;65;"";70;53;14;150;9,5;36;36;5,52
"200";"34_2";28,3;2;75,1;187,4;9,5;0,5;685;146;85;85;"";70;57;9;125;9,5;26;26;6,65
"201";"34_3";28,3;3;75,1;168;9,5;0,5;711,4;152;65;65;"";70;57;11;150;9,5;32;32;6,53
"202";"34_4";28,3;2;75,1;184,8;9;1;676,1;147;60;60;"";70;56;6;100;9;26;26;8,12
"203";"34_5";25,7;1,2;76,8;196,7;9;1;789,2;143;40;40;"";70;42;15;75;9;22;22;3,25
"204";"34_6";25,7;1,2;76,8;164,5;9,5;0,5;803,5;148;70;70;"";70;49;18;100;9,5;28;28;3,09
"205";"35_1";28,3;2;75,1;191,6;9;1;768,2;146;90;90;"";70;82;14;200;9;25;25;4,75
"206";"35_2";28,3;2;75,1;187,7;9,5;0,5;489,8;143;50;50;"";70;65;8;125;9,5;22;22;6,56
"207";"35_3";28,3;2;75,1;189,7;9;1;829,8;145;95;95;"";70;68;14;250;9;24;24;7,16
"208";"35_4";28,3;3;75,1;174,7;9;1;800,8;149;90;90;"";70;90;16;175;9;28;28;3,32
"209";"35_5";28,3;2;75,1;191;9,5;0,5;777,6;153;85;85;"";70;57;7;175;9,5;32;32;11,97
"210";"35_6";28,3;3;75,1;164,1;9;1;774,8;163;80;80;"";70;79;17;200;9;42;42;4,06
"211";"36_1";26,6;1,5;65,3;165,1;8,5;1,5;226;135;5;5;"";70;72;12;300;8,5;14;14;9,47
"212";"36_2";26,6;1,5;65,3;155,9;8,5;1,5;519,2;136;5;5;"";70;82;19;275;8,5;14;14;4,82
