"ID_echantillon";"Nom_scientifique";"ID_espece";"Milieu_recolte";"T_ambiante";"Vent";"Humidite";"DI";"DI_test";"score_DI";"BT";"BT_test";"MT";"BB";"BB_test";"FI";"Nb_ramifications";"SD";"TMC_t0";"TMC_t24";"TDMC";"TD";"TDIA";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT"
"16_4";"Hibiscus tiliaceus V";16;"G";28,5;3,2;68,1;9;1;9;39;39;687,4;90;90;1;5;5,98;126,4;105,11;441,69;0,77;15,06;10,1;173,13;109,37;23,46;366,28;138,46;11026,95;0,03
"16_5";"Hibiscus tiliaceus V";16;"G";28,5;3,2;68,1;8;2;8;47;47;785,8;75;75;1;4;4,74;144,04;130,18;409,76;0,51;11,59;13,33;214,48;128,33;26,71;325,03;156,95;14758,67;0,02
"16_6";"Hibiscus tiliaceus V";16;"G";28,5;3,2;68,1;9;1;9;32;32;706,2;85;85;1;7;2,57;151,54;134,7;397,56;0,56;12,37;18,37;205,14;101,75;35,13;329,97;138,48;12868,14;0,03
"17_2";"Barringtonia asiatica";17;"G";26,3;1,5;81,7;5;5;5;8;8;218;3;3;1;4;6,72;175,7;167,64;362,72;1,03;20,77;1,91;337,16;319,44;4,05;228,92;369,47;9720,18;0,02
"17_3";"Barringtonia asiatica";17;"G";26,3;1,5;81,7;5;5;5;13;13;506,3;5;5;1;1;3,44;292,98;274,07;254,47;0,65;12,84;7,49;350,89;330,61;4,51;222,05;318,75;11078,07;0,02
"17_4";"Barringtonia asiatica";17;"G";26,3;1,5;81,7;8;2;8;17;17;498,9;10;10;1;2;5,66;212,91;187,33;319,58;0,9;18,7;1,56;320,94;304,25;3,96;238,27;392,19;9356,36;0,03
"17_6";"Barringtonia asiatica";17;"G";26,3;1,5;81,7;7;3;7;21;21;467,3;10;10;1;0;3,83;200,57;169,89;332,7;0,71;14,64;2,55;281,14;261,98;5,03;263,12;409,41;8130,49;0,03
"18_1";"Leucaena leucocephala";18;"L";26,3;1,5;81,7;9,5;0,5;9,5;20;20;587,6;70;70;1;21;4,41;134,34;113,33;426,73;0,53;11,88;67,91;450;50;72,73;181,82;0,27;33975;0,01
"18_2";"Leucaena leucocephala";18;"L";26,3;1,5;81,7;9,5;0,5;9,5;24;24;651,3;90;90;1;22;3,42;138,75;117,95;418,84;0,56;13;86,93;333,33;16,67;73,08;230,77;0,31;25700;0,01
"18_3";"Leucaena leucocephala";18;"L";26,3;1,5;81,7;9,5;0,5;9,5;24;24;597,5;95;95;1;18;3,28;139,49;115,97;417,55;0,42;10,24;72,66;257,14;28,57;64;280;0,3;21485,71;0,01
"18_4";"Leucaena leucocephala";18;"L";26,3;1,5;81,7;9,5;0,5;9,5;28;28;734,2;75;75;1;12;1,41;79,3;69,88;557,72;0,58;14,54;66,4;140;6,67;55,56;416,67;0,16;21946,67;0,02
"18_5";"Leucaena leucocephala";18;"L";26,3;1,5;81,7;9,5;0,5;9,5;28;28;672,6;55;55;1;13;1,95;123,37;93,12;447,7;0,35;7,62;92,18;300;33,33;66,67;250;0,29;23816,67;0,01
"18_6";"Leucaena leucocephala";18;"L";26,3;1,5;81,7;9,5;0,5;9,5;38;38;688,4;75;75;1;12;1,56;91,73;79,83;521,57;0,6;13,2;79,91;227,27;9,09;66,67;305,56;0,2;17763,64;0,02
"19_1";"Acropogon bullatus";19;"G";29,1;1,5;68,8;7;3;7;104;104;788,4;80;80;1;1;11,57;138,03;125,2;420,12;1,01;19,2;3,25;147,4;125,5;8,8;406,49;224,04;6378,17;0,06
"19_4";"Acropogon bullatus";19;"G";29,1;1,5;68,8;5;5;5;11;11;514;5;5;1;4;14,64;134,96;116,23;425,61;1,12;20,94;3,07;174,29;147,19;10,01;367,56;205,03;7815,75;0,05
"19_5";"Acropogon bullatus";19;"G";29,1;1,5;68,8;8,5;1,5;8,5;24;24;642,4;5;5;1;1;10,83;182,65;154,52;353,79;1,1;21,28;18,04;185,41;158,46;9,51;351,61;139,97;8092,03;0,04
"19_6";"Acropogon bullatus";19;"G";29,1;1,5;68,8;6;4;6;13;13;539,9;5;5;1;3;13,07;161,26;141,88;382,76;1,08;18,82;4,11;195,94;157,59;12,8;339,08;120,05;9847,8;0,04
"20_1";"Cerbera manghas";20;"G";29,1;1,5;68,8;7;3;7;15;15;462,6;15;15;1;2;3,69;78,08;72,97;561,54;0,76;16,73;5;270,18;242,08;7,6;270,17;79,75;13358,4;0,02
"20_2";"Cerbera manghas";20;"G";29,1;1,5;68,8;9;1;9;31;31;713;20;20;1;5;8,97;271,73;251,36;269,01;0,8;18,01;2,56;294,59;249,38;11,44;253,49;73,53;16517,42;0,02
"20_3";"Cerbera manghas";20;"G";29,1;1,5;68,8;9;1;9;17;17;386,2;10;10;1;3;5,72;276,06;257,75;265,92;0,7;12,96;3,03;260,23;232,25;7,74;281,89;39,55;12362,67;0,02
"20_6";"Cerbera manghas";20;"G";29,1;1,5;68,8;9;1;9;14;14;685,6;15;15;1;1;5,96;243,03;202,54;291,52;0,79;15,78;2,11;272,24;243,48;7,68;269,22;74,27;11582,09;0,02
"22_1";"Acacia spirorbis";22;"L";29,1;1,5;68,8;9,5;0,5;9,5;46;46;656,2;70;70;1;15;3,11;61,38;54,01;619,67;0,64;11,61;6,13;244,91;186,9;16,63;292,24;6,55;9853,23;0,03
"22_2";"Acacia spirorbis";22;"L";29,1;1,5;68,8;9,5;0,5;9,5;130;130;615;60;60;1;11;3,4;71,61;53,05;582,73;0,64;13,48;9,07;189,37;128,65;21,13;358,73;8,52;8664;0,05
"22_3";"Acacia spirorbis";22;"L";29,1;1,5;68,8;9,5;0,5;9,5;66;66;785,7;60;60;1;15;5,17;72,24;54,6;580,6;0,67;12,96;6,63;236,91;189,37;15,07;303,15;8,58;11325,42;0,03
"22_4";"Acacia spirorbis";22;"L";29,1;1,5;68,8;9;1;9;47;47;657,7;65;65;1;13;1,97;75,88;61,31;568,56;0,56;10,24;14,24;182,92;136;16,55;356,58;8,72;8580,03;0,04
