"";"ID_echantillon";"ID_Feuille";"Esp";"Masse_F_T0";"Masse_F_T24";"Masse_F_Tsec";"Longueur_F";"Largeur_F";"Surface_F";"LMC_t0";"LMC_t24";"LDMC";"SLA";"LT"
"120";"04_6";"04_6_5";"Grevillea_rubiginosa";0,642;0,39;NA;NA;NA;14,262;NA;NA;NA;NA;NA
"121";"05_1";"05_1_1";"Codia_spatulata";1,2;0,859;NA;NA;NA;22,205;NA;NA;NA;NA;NA
"122";"05_1";"05_1_2";"Codia_spatulata";0,651;0,455;NA;NA;NA;13,839;NA;NA;NA;NA;NA
"123";"05_1";"05_1_3";"Codia_spatulata";0,837;0,459;NA;NA;NA;16,666;NA;NA;NA;NA;NA
"124";"05_1";"05_1_4";"Codia_spatulata";1,055;0,79;NA;NA;NA;20,935;NA;NA;NA;NA;NA
"125";"05_1";"05_1_5";"Codia_spatulata";0,708;0,416;NA;NA;NA;15,945;NA;NA;NA;NA;NA
"126";"05_2";"05_2_1";"Codia_spatulata";0,66;0,58;NA;NA;NA;15,664;NA;NA;NA;NA;NA
"127";"05_2";"05_2_2";"Codia_spatulata";1,43;1,158;NA;NA;NA;31,171;NA;NA;NA;NA;NA
"128";"05_2";"05_2_3";"Codia_spatulata";1,668;1,415;NA;NA;NA;34,606;NA;NA;NA;NA;NA
"129";"05_2";"05_2_4";"Codia_spatulata";0,63;0,487;NA;NA;NA;15,202;NA;NA;NA;NA;NA
"130";"05_2";"05_2_5";"Codia_spatulata";1,412;1,195;NA;NA;NA;30,93;NA;NA;NA;NA;NA
"131";"05_3";"05_3_1";"Codia_spatulata";0,706;0,64;NA;NA;NA;16,666;NA;NA;NA;NA;NA
"132";"05_3";"05_3_2";"Codia_spatulata";1,111;1,003;NA;NA;NA;24,576;NA;NA;NA;NA;NA
"133";"05_3";"05_3_3";"Codia_spatulata";0,871;0,792;NA;NA;NA;21,737;NA;NA;NA;NA;NA
"134";"05_3";"05_3_4";"Codia_spatulata";0,675;0,584;NA;NA;NA;15,847;NA;NA;NA;NA;NA
"135";"05_3";"05_3_5";"Codia_spatulata";0,959;0,625;NA;NA;NA;19,354;NA;NA;NA;NA;NA
"136";"05_4";"05_4_1";"Codia_spatulata";0,54;0,383;NA;NA;NA;12,783;NA;NA;NA;NA;NA
"137";"05_4";"05_4_2";"Codia_spatulata";0,554;0,485;NA;NA;NA;13,112;NA;NA;NA;NA;NA
"138";"05_4";"05_4_3";"Codia_spatulata";0,644;0,563;NA;NA;NA;15,313;NA;NA;NA;NA;NA
"139";"05_4";"05_4_4";"Codia_spatulata";0,608;0,487;NA;NA;NA;13,771;NA;NA;NA;NA;NA
"140";"05_4";"05_4_5";"Codia_spatulata";0,852;0,713;NA;NA;NA;17,621;NA;NA;NA;NA;NA
"141";"05_5";"05_5_1";"Codia_spatulata";1,116;1,009;NA;NA;NA;22,752;NA;NA;NA;NA;NA
"142";"05_5";"05_5_2";"Codia_spatulata";0,488;0,441;NA;NA;NA;11,727;NA;NA;NA;NA;NA
"143";"05_5";"05_5_3";"Codia_spatulata";0,667;0,472;NA;NA;NA;13,545;NA;NA;NA;NA;NA
"144";"05_5";"05_5_4";"Codia_spatulata";0,519;0,458;NA;NA;NA;11,697;NA;NA;NA;NA;NA
"145";"05_5";"05_5_5";"Codia_spatulata";0,708;0,612;NA;NA;NA;15,187;NA;NA;NA;NA;NA
"146";"05_6";"05_6_1";"Codia_spatulata";0,55;0,483;NA;NA;NA;14,228;NA;NA;NA;NA;NA
"147";"05_6";"05_6_2";"Codia_spatulata";0,706;0,611;NA;NA;NA;17,739;NA;NA;NA;NA;NA
"148";"05_6";"05_6_3";"Codia_spatulata";0,749;0,663;NA;NA;NA;18,086;NA;NA;NA;NA;NA
"149";"05_6";"05_6_4";"Codia_spatulata";0,706;0,607;NA;NA;NA;16,062;NA;NA;NA;NA;NA
"150";"05_6";"05_6_5";"Codia_spatulata";0,9;0,605;NA;NA;NA;18,553;NA;NA;NA;NA;NA
"151";"06_1";"06_1_1";"Geissois_pruinosa";1,812;1,465;NA;NA;NA;36,356;NA;NA;NA;NA;NA
"152";"06_1";"06_1_2";"Geissois_pruinosa";1,529;1,174;NA;NA;NA;28,951;NA;NA;NA;NA;NA
"153";"06_1";"06_1_3";"Geissois_pruinosa";2,581;1,908;NA;NA;NA;44,797;NA;NA;NA;NA;NA
"154";"06_1";"06_1_4";"Geissois_pruinosa";1,56;1,309;NA;NA;NA;29,442;NA;NA;NA;NA;NA
"155";"06_1";"06_1_5";"Geissois_pruinosa";2,089;1,672;NA;NA;NA;41,75;NA;NA;NA;NA;NA
"156";"06_2";"06_2_1";"Geissois_pruinosa";0,81;0,671;NA;NA;NA;22,186;NA;NA;NA;NA;NA
"157";"06_2";"06_2_2";"Geissois_pruinosa";1,041;0,888;NA;NA;NA;28,437;NA;NA;NA;NA;NA
"158";"06_2";"06_2_3";"Geissois_pruinosa";0,801;0,682;NA;NA;NA;22,291;NA;NA;NA;NA;NA
"159";"06_2";"06_2_4";"Geissois_pruinosa";1,043;0,784;NA;NA;NA;27,316;NA;NA;NA;NA;NA
"160";"06_2";"06_2_5";"Geissois_pruinosa";1,085;0,87;NA;NA;NA;28,399;NA;NA;NA;NA;NA
"161";"06_3";"06_3_1";"Geissois_pruinosa";1,642;1,456;NA;NA;NA;42,42;NA;NA;NA;NA;NA
"162";"06_3";"06_3_2";"Geissois_pruinosa";2,403;1,743;NA;NA;NA;55,056;NA;NA;NA;NA;NA
"163";"06_3";"06_3_3";"Geissois_pruinosa";1,948;1,553;NA;NA;NA;47,03;NA;NA;NA;NA;NA
"164";"06_3";"06_3_4";"Geissois_pruinosa";2,009;1,752;NA;NA;NA;49,897;NA;NA;NA;NA;NA
"165";"06_3";"06_3_5";"Geissois_pruinosa";1,726;1,479;NA;NA;NA;43,169;NA;NA;NA;NA;NA
"166";"06_4";"06_4_1";"Geissois_pruinosa";1,505;0,921;NA;NA;NA;32,419;NA;NA;NA;NA;NA
"167";"06_4";"06_4_2";"Geissois_pruinosa";1,665;1,16;NA;NA;NA;38,106;NA;NA;NA;NA;NA
"168";"06_4";"06_4_3";"Geissois_pruinosa";1,804;1,185;NA;NA;NA;39,746;NA;NA;NA;NA;NA
"169";"06_4";"06_4_4";"Geissois_pruinosa";1,834;1,224;NA;NA;NA;40,73;NA;NA;NA;NA;NA
"170";"06_4";"06_4_5";"Geissois_pruinosa";1,415;0,99;NA;NA;NA;30,908;NA;NA;NA;NA;NA
"171";"06_5";"06_5_1";"Geissois_pruinosa";1,488;1,083;NA;NA;NA;32,602;NA;NA;NA;NA;NA
"172";"06_5";"06_5_2";"Geissois_pruinosa";1,296;0,939;NA;NA;NA;27,897;NA;NA;NA;NA;NA
"173";"06_5";"06_5_3";"Geissois_pruinosa";1,307;1,009;NA;NA;NA;28,031;NA;NA;NA;NA;NA
"174";"06_5";"06_5_4";"Geissois_pruinosa";1,229;0,97;NA;NA;NA;27,494;NA;NA;NA;NA;NA
"175";"06_5";"06_5_5";"Geissois_pruinosa";1,074;0,831;NA;NA;NA;24,386;NA;NA;NA;NA;NA
"176";"06_6";"06_6_1";"Geissois_pruinosa";1,757;1,447;NA;NA;NA;39,886;NA;NA;NA;NA;NA
"177";"06_6";"06_6_2";"Geissois_pruinosa";1,542;1,308;NA;NA;NA;30,826;NA;NA;NA;NA;NA
"178";"06_6";"06_6_3";"Geissois_pruinosa";2,358;1,933;NA;NA;NA;50,583;NA;NA;NA;NA;NA
"179";"06_6";"06_6_4";"Geissois_pruinosa";1,521;1,124;NA;NA;NA;33,476;NA;NA;NA;NA;NA
"180";"06_6";"06_6_5";"Geissois_pruinosa";1,758;1,503;NA;NA;NA;38,598;NA;NA;NA;NA;NA
"181";"07_1";"07_1_1";"Araucaria_columnaris";1,321;1,283;NA;NA;NA;19,86240539;NA;NA;NA;NA;NA
"182";"07_1";"07_1_2";"Araucaria_columnaris";1,484;1,376;NA;NA;NA;24,57605101;NA;NA;NA;NA;NA
"183";"07_1";"07_1_3";"Araucaria_columnaris";1,43;1,408;NA;NA;NA;23,29192501;NA;NA;NA;NA;NA
"184";"07_1";"07_1_4";"Araucaria_columnaris";2,151;2,065;NA;NA;NA;309,2175401;NA;NA;NA;NA;NA
